;Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;BoxScore;OT;Attend.;Notes;Y-M
195;Mon, Nov 28, 2005;9:00p;Brooklyn Nets;101;Denver Nuggets;92;Box Score;;13,817;;[2005, 11]
196;Mon, Nov 28, 2005;10:30p;New Orleans Pelicans;83;Golden State Warriors;99;Box Score;;16,27;;[2005, 11]
197;Tue, Nov 29, 2005;7:00p;Portland Trail Blazers;83;Philadelphia 76ers;107;Box Score;;12,676;;[2005, 11]
198;Tue, Nov 29, 2005;8:00p;Dallas Mavericks;111;Milwaukee Bucks;113;Box Score;OT;14,996;;[2005, 11]
199;Tue, Nov 29, 2005;8:00p;LA Clippers;93;Minnesota Timberwolves;84;Box Score;;13,101;;[2005, 11]
200;Tue, Nov 29, 2005;8:30p;Orlando Magic;76;Chicago Bulls;85;Box Score;;21,921;;[2005, 11]
201;Tue, Nov 29, 2005;8:30p;Atlanta Hawks;85;Houston Rockets;100;Box Score;;12,825;;[2005, 11]
202;Tue, Nov 29, 2005;8:30p;Los Angeles Lakers;84;San Antonio Spurs;90;Box Score;;18,797;;[2005, 11]
203;Tue, Nov 29, 2005;9:00p;Indiana Pacers;84;Utah Jazz;60;Box Score;;17,021;;[2005, 11]
204;Tue, Nov 29, 2005;10:00p;Charlotte Hornets;92;Sacramento Kings;110;Box Score;;17,317;;[2005, 11]
205;Wed, Nov 30, 2005;7:00p;Miami Heat;96;Atlanta Hawks;74;Box Score;;16,029;;[2005, 11]
206;Wed, Nov 30, 2005;7:00p;LA Clippers;105;Cleveland Cavaliers;112;Box Score;OT;18,209;;[2005, 11]
207;Wed, Nov 30, 2005;7:00p;Memphis Grizzlies;92;Toronto Raptors;66;Box Score;;14,993;;[2005, 11]
208;Wed, Nov 30, 2005;7:00p;Portland Trail Blazers;89;Washington Wizards;96;Box Score;;15,275;;[2005, 11]
209;Wed, Nov 30, 2005;7:30p;Philadelphia 76ers;103;Boston Celtics;110;Box Score;;14,027;;[2005, 11]
210;Wed, Nov 30, 2005;7:30p;Detroit Pistons;93;Brooklyn Nets;83;Box Score;;16,337;;[2005, 11]
211;Wed, Nov 30, 2005;7:30p;Chicago Bulls;101;New York Knicks;109;Box Score;;17,909;;[2005, 11]
212;Wed, Nov 30, 2005;9:00p;New Orleans Pelicans;102;Denver Nuggets;95;Box Score;;15,603;;[2005, 11]
